id,source,stage,tempC,windKph,cloudPct,rainMm,riverFlowCumec,efficiencyPct,vibration,ageYears,lastServiceDays,batteryHealth,socPct,emergencyPct,txLossPct,devPct,producedKW,storedKW,problem_class,severity,solution_id
57,solar,distribution,36.1,16.1,2,0,46,77.2,0.5,16,184,61,99.8,11.4,6.57,2.75,1.74,1.67,0,low,0
58,wind,forecast,26.4,20.2,18,0,96,90.3,3.5,4,360,69,39.7,19.3,6.34,3.44,3.72,3.48,0,low,0
59,wind,distribution,38.6,95.6,39,4.5,164,67.1,3.4,2,289,94,28.9,12.6,6.37,17.0,4.48,3.98,3,critical,6
60,hydro,distribution,21.9,90.0,39,9.6,253,83.7,0.0,7,312,93,37.1,9.3,12.97,2.23,3.73,3.54,3,medium,5
61,wind,distribution,32.6,75.0,47,20.1,223,86.5,4.7,19,198,77,6.4,10.2,10.56,12.07,4.27,4.13,5,critical,8
62,solar,forecast,38.7,33.7,69,4.1,114,76.8,3.1,9,6,68,25.7,3.8,3.3,0.65,3.98,3.94,4,medium,7
63,hydro,distribution,20.5,68.2,66,1.2,62,64.2,3.3,4,360,59,91.2,20.3,1.93,2.27,3.56,3.42,0,low,0
64,solar,distribution,41.3,62.7,3,3.6,134,96.0,4.5,15,102,58,44.4,5.4,9.31,9.92,4.95,4.33,3,medium,5
65,solar,forecast,28.9,64.0,61,0,230,60.0,6.2,4,70,82,23.2,24.2,7.01,7.6,3.67,3.23,4,medium,7
66,hydro,storage,18.7,13.1,59,0,49,93.4,0.1,19,348,60,31.3,7.0,5.42,8.33,1.82,1.69,2,critical,4
67,hydro,forecast,34.6,52.1,44,6.7,73,65.8,4.4,4,204,71,60.9,12.8,3.48,9.75,4.16,4.12,0,low,9
68,hydro,production,33.0,33.0,68,12.7,246,96.5,5.8,16,330,57,92.1,5.5,6.91,6.71,4.61,4.57,1,critical,2
69,solar,storage,21.0,106.5,53,9.3,106,65.1,7.5,2,39,73,76.9,4.1,3.62,6.66,2.21,2.06,2,critical,3
70,solar,storage,20.3,55.9,66,9.4,168,89.1,1.8,12,351,91,73.1,23.5,7.35,5.02,3.0,2.83,0,low,0
71,wind,production,31.0,29.4,81,0,167,93.5,0.6,1,226,84,93.7,3.2,8.78,2.06,3.15,3.09,1,medium,1
72,solar,storage,41.0,30.5,31,0,101,98.5,3.7,1,67,57,75.3,14.1,5.56,8.71,2.88,2.79,2,critical,4
73,solar,storage,22.3,83.1,36,0,140,67.8,3.2,12,115,93,56.6,15.7,10.98,7.5,4.85,4.31,5,medium,9
74,hydro,production,35.6,89.2,100,1.3,79,88.8,1.5,15,95,69,73.6,7.2,5.01,6.64,2.92,2.85,2,low,4
75,hydro,forecast,33.1,31.8,99,0,47,89.7,7.1,17,225,75,44.8,4.8,9.92,6.39,1.92,1.65,4,medium,7
76,solar,storage,37.4,100.7,28,1.9,33,86.5,7.3,19,145,85,31.5,24.6,10.76,14.42,4.98,4.29,5,critical,8
77,wind,distribution,18.2,44.2,11,0,173,86.9,5.9,1,40,58,89.0,24.5,1.56,0.81,2.6,2.26,0,low,0
78,hydro,forecast,28.6,7.5,96,4.5,81,97.9,0.3,15,21,67,8.4,14.1,7.55,0.15,3.07,2.85,4,medium,7
79,wind,distribution,38.5,99.0,39,0,50,60.2,0.2,17,128,57,9.7,9.0,9.19,7.83,1.51,1.29,3,medium,5
80,solar,distribution,41.1,96.6,63,17.2,75,91.8,2.0,2,46,63,44.8,3.0,10.16,12.88,4.24,4.1,3,critical,6
81,solar,storage,36.9,67.2,22,0,82,83.2,4.1,7,105,86,10.8,5.0,7.33,0.93,4.51,4.18,2,critical,4
82,hydro,forecast,21.2,65.1,76,0,155,96.1,5.3,16,179,75,29.7,22.8,1.73,5.06,2.88,2.87,4,medium,7
83,solar,distribution,30.0,86.9,66,13.5,111,82.7,1.6,18,376,60,18.1,4.7,12.62,16.05,4.63,4.62,3,critical,6
84,solar,distribution,27.5,18.4,21,0,249,83.9,7.8,1,275,100,94.0,18.2,5.03,5.74,3.71,3.17,0,low,0
85,wind,production,30.5,104.0,88,16.9,204,91.1,5.1,12,27,79,10.7,25.0,2.56,2.31,4.95,4.64,1,critical,2
86,solar,storage,20.9,15.0,68,6.6,89,89.2,1.1,6,201,92,39.6,19.1,10.48,5.11,2.18,2.06,0,low,0
87,solar,distribution,27.5,5.5,65,11.2,180,75.7,0.9,4,102,88,96.3,11.2,6.93,11.95,1.57,1.36,0,low,9
88,hydro,distribution,32.4,38.1,33,4.7,228,75.4,2.5,11,22,59,24.1,23.7,5.7,12.0,1.68,1.61,0,low,9
89,wind,production,39.1,79.7,9,0.2,225,78.5,7.7,4,91,72,26.5,16.5,1.95,11.47,2.69,2.43,1,critical,2
90,hydro,distribution,41.5,3.7,13,0.5,129,63.0,1.6,1,79,66,38.3,5.6,5.61,8.37,2.05,1.86,0,low,9
91,solar,storage,30.8,16.8,83,3.0,160,98.4,2.3,19,14,88,17.7,6.9,7.62,7.49,4.08,3.51,2,critical,4
92,solar,forecast,39.7,16.1,22,14.6,235,80.4,5.3,13,109,86,80.3,23.6,7.92,0.09,3.2,2.74,4,medium,7
93,wind,storage,39.8,32.9,49,0,203,65.9,1.1,15,225,72,84.3,3.6,10.17,3.24,3.65,3.59,2,critical,4
94,wind,storage,24.1,70.3,51,0,221,78.2,1.8,8,205,58,67.9,9.8,4.7,7.27,2.88,2.86,3,critical,0
95,wind,distribution,24.4,25.8,26,0,246,86.3,1.3,18,252,84,15.4,16.3,12.99,3.11,2.9,2.58,3,medium,5
96,hydro,storage,37.4,6.8,31,1.2,136,81.0,6.6,5,220,79,99.0,23.1,7.21,4.41,2.86,2.69,2,medium,3
97,solar,distribution,35.4,61.0,63,0,199,96.9,2.0,14,92,66,8.2,16.4,12.51,2.35,2.93,2.64,3,medium,5
98,hydro,distribution,20.1,2.7,99,0,157,75.9,0.2,6,392,87,82.2,5.8,1.16,0.04,3.23,3.2,0,low,0
99,wind,production,41.7,58.3,39,6.7,66,62.0,3.0,5,146,72,25.6,21.5,11.09,11.57,2.46,2.44,1,critical,2
100,solar,production,33.1,14.2,89,0,182,66.2,2.3,12,115,73,33.4,16.8,8.85,5.2,3.8,3.48,1,critical,2
101,solar,forecast,30.8,65.9,4,4.6,48,65.0,3.5,13,266,81,94.8,5.6,12.41,0.67,3.13,2.7,4,medium,7
102,solar,production,39.1,31.5,62,13.0,258,97.5,1.0,20,196,64,63.5,3.3,4.82,9.59,2.68,2.66,1,critical,2
103,hydro,production,29.3,54.7,51,4.5,140,93.5,0.3,14,373,71,34.9,24.9,1.92,10.09,2.52,2.37,1,medium,1
104,wind,forecast,37.9,63.9,46,8.2,114,88.8,7.3,1,239,95,30.5,14.0,2.5,3.33,2.5,2.17,1,low,3
105,solar,storage,28.3,29.8,87,15.4,80,95.0,4.1,3,316,76,83.7,19.9,13.08,6.01,2.97,2.93,0,medium,1
106,hydro,storage,35.1,104.1,33,1.9,56,98.7,7.5,12,385,97,28.5,16.5,2.74,6.39,1.74,1.65,2,medium,3
107,hydro,forecast,38.5,67.9,21,17.5,170,85.0,5.0,2,150,92,62.4,7.7,1.98,0.36,2.55,2.25,0,low,0
108,solar,distribution,33.5,83.8,72,0,136,80.5,7.2,10,77,72,48.8,8.1,10.34,24.5,1.54,1.44,5,critical,8
109,hydro,forecast,35.6,41.9,66,13.4,221,91.5,1.1,11,97,89,30.9,24.6,6.65,8.55,4.98,4.83,4,medium,7
110,solar,storage,18.7,39.2,10,5.0,122,60.9,4.7,10,85,81,66.6,16.8,8.03,12.0,1.92,1.72,2,medium,3
111,solar,distribution,32.7,100.4,34,3.3,100,77.9,3.5,7,349,90,54.3,11.3,8.37,5.65,3.38,3.03,3,medium,5
112,hydro,storage,19.8,48.6,8,7.8,196,69.9,7.8,14,319,95,34.8,23.7,2.36,1.22,2.45,2.38,0,low,0
113,wind,storage,35.5,108.7,14,0,225,73.6,3.5,4,258,64,96.3,8.4,6.04,3.21,2.54,2.22,2,critical,4
114,solar,production,30.0,31.0,43,19.0,240,81.6,6.5,12,325,84,77.5,20.5,6.77,18.56,1.72,1.59,5,critical,8
115,wind,distribution,36.6,15.0,76,0,195,73.5,3.9,14,224,55,76.1,10.3,10.91,7.65,3.74,3.29,3,medium,5
116,hydro,distribution,29.7,60.4,92,0,47,75.3,1.5,10,270,84,11.4,12.4,7.77,4.24,4.76,4.34,0,low,0
117,solar,production,18.3,63.2,56,5.1,43,68.0,2.6,11,21,75,55.4,12.9,7.39,7.35,3.27,3.27,1,critical,2
118,wind,storage,29.4,11.4,14,18.8,179,94.9,1.4,20,114,88,23.1,12.3,13.41,1.93,4.55,4.06,0,low,0
119,hydro,storage,23.1,94.8,15,0.5,192,80.1,1.5,13,251,99,98.8,13.1,4.99,8.27,3.14,2.73,2,medium,3
120,wind,storage,21.3,108.5,98,16.4,154,78.7,1.8,15,143,71,88.1,20.3,4.85,4.87,4.38,4.1,2,critical,4
121,solar,production,25.4,102.6,26,12.7,242,68.3,2.7,3,267,68,92.3,4.3,4.77,11.36,3.66,3.29,1,critical,2
122,wind,forecast,36.8,37.2,68,0,196,78.4,7.8,12,359,64,7.3,18.6,4.88,6.87,2.0,1.81,5,medium,6
123,solar,distribution,39.7,69.4,43,0,221,83.9,0.5,16,43,58,99.6,10.3,8.01,2.31,4.21,3.8,3,medium,5
124,wind,forecast,25.8,12.1,80,0.4,246,84.5,3.6,10,202,75,87.5,24.2,6.84,3.84,2.13,1.86,4,medium,7
125,hydro,production,19.2,83.5,19,0,186,91.4,4.2,17,92,69,27.4,20.5,3.72,7.77,4.28,3.86,1,critical,2
126,hydro,forecast,34.6,14.3,78,13.2,124,72.7,7.0,10,291,70,80.4,8.5,4.49,13.14,3.81,3.28,4,medium,7
127,hydro,storage,32.9,22.5,77,9.6,168,63.4,0.4,7,369,81,13.7,6.4,8.22,3.48,2.24,2.12,2,critical,4
128,solar,distribution,30.3,36.1,66,3.2,217,89.5,7.8,18,116,97,50.0,4.6,5.44,1.71,3.53,3.3,0,low,0
129,solar,storage,29.4,76.6,58,15.8,79,61.0,0.1,2,280,79,96.3,12.3,3.94,6.55,2.97,2.89,2,medium,3
130,wind,storage,41.4,47.5,70,3.9,60,61.8,5.5,4,255,65,43.5,8.3,9.84,1.45,2.09,2.07,2,critical,4
131,wind,production,39.5,44.8,82,0,219,90.9,5.3,5,213,56,39.5,17.6,10.25,10.0,3.34,3.09,1,critical,2
132,hydro,production,30.5,90.4,75,1.4,144,78.6,4.8,8,49,83,37.6,2.7,13.77,3.03,2.86,2.48,1,critical,2
133,wind,distribution,25.3,31.0,57,0,91,79.5,4.0,4,243,84,72.2,18.2,3.46,5.26,2.51,2.18,0,low,0
134,hydro,distribution,41.0,42.9,23,0,142,73.0,6.0,9,56,76,99.2,13.3,9.65,7.46,2.26,1.98,3,medium,5
135,hydro,production,28.1,74.2,87,3.6,238,90.5,2.1,4,291,60,16.4,13.6,11.74,2.97,2.24,2.06,1,medium,1
136,solar,storage,25.5,74.0,81,1.6,85,67.0,3.3,17,251,56,49.4,18.3,4.74,7.17,3.93,3.73,2,critical,4
137,hydro,forecast,28.9,47.3,61,0,256,89.8,4.0,6,196,77,64.7,18.7,9.84,14.09,2.64,2.42,4,medium,7
138,wind,forecast,19.2,11.2,7,0.2,129,97.0,3.5,15,111,81,47.4,11.8,12.71,0.38,3.64,3.13,4,medium,7
139,hydro,distribution,36.3,9.6,34,0,175,80.0,2.2,1,321,93,25.0,19.1,11.09,0.47,3.48,3.45,3,medium,5
140,wind,distribution,39.2,16.7,45,1.9,41,69.9,0.9,18,164,96,85.5,23.4,1.39,5.75,4.33,3.78,0,low,0
141,hydro,storage,40.6,106.7,38,6.0,156,98.6,6.9,10,12,64,38.2,4.3,6.51,15.86,3.17,3.14,5,critical,8
142,solar,storage,20.7,66.2,5,2.4,232,94.8,7.8,3,376,70,50.7,3.0,13.46,6.12,3.59,3.36,2,critical,4
143,hydro,forecast,27.5,105.2,17,15.1,103,82.1,0.9,15,335,56,47.9,22.5,10.47,1.55,2.54,2.44,4,critical,7
144,solar,storage,34.7,15.8,21,10.3,36,84.5,7.8,11,48,91,46.6,20.7,4.52,3.28,2.5,2.33,0,low,0
145,solar,forecast,27.7,60.8,76,0,161,96.2,0.8,14,95,59,91.7,8.0,2.47,0.45,2.33,2.09,4,medium,7
146,wind,distribution,26.8,6.0,45,18.5,186,79.1,5.0,15,195,83,34.2,14.2,8.05,7.83,1.63,1.4,3,medium,5
147,solar,production,41.4,16.4,78,8.1,140,74.6,2.1,16,260,60,17.0,7.4,11.15,2.3,2.06,2.01,1,critical,2
148,wind,production,18.9,30.9,31,8.5,132,64.5,4.4,9,395,74,87.8,6.3,6.18,19.3,4.49,3.84,5,critical,8
149,solar,forecast,34.7,43.4,54,14.4,195,72.7,2.7,19,329,69,72.1,14.6,5.3,12.82,4.39,4.06,2,medium,6
150,wind,distribution,28.0,15.8,54,0.4,176,63.5,5.3,18,56,62,30.8,24.8,5.98,6.97,4.64,4.47,1,low,5
151,hydro,production,33.5,53.3,48,16.2,78,67.9,4.6,18,173,61,8.5,3.1,8.4,3.08,4.11,3.61,1,critical,2
152,solar,forecast,39.0,28.7,29,0,150,66.0,0.1,18,129,100,79.8,12.4,10.8,11.22,4.15,3.9,0,low,9
153,solar,storage,22.6,66.6,43,0,254,85.5,6.2,4,215,87,51.2,5.2,9.24,19.78,2.42,2.1,5,critical,8
154,solar,forecast,39.0,94.7,14,7.6,55,97.3,5.8,13,286,71,32.0,10.0,9.13,5.99,3.93,3.49,2,critical,7
155,solar,production,24.6,5.1,68,6.4,252,97.6,2.4,19,162,94,11.1,16.5,2.33,19.23,1.51,1.29,1,critical,2
156,wind,production,18.8,95.7,3,3.7,213,83.0,7.8,1,181,98,88.7,9.8,10.72,1.69,1.73,1.5,1,critical,2
157,wind,storage,21.4,6.5,82,0.3,69,60.1,1.6,2,389,84,41.3,4.3,2.65,12.24,3.53,3.44,5,critical,8
158,wind,storage,27.1,106.0,97,2.3,54,60.8,6.8,11,120,57,52.4,2.3,9.97,1.63,1.54,1.54,2,critical,4
159,hydro,production,29.9,95.4,12,11.8,259,78.7,6.0,6,72,74,74.8,21.1,11.53,4.63,2.49,2.44,2,critical,2
160,hydro,production,33.7,86.9,11,10.0,31,86.9,5.8,14,142,72,8.6,14.9,7.79,21.41,3.61,3.41,5,critical,8
161,wind,distribution,36.5,14.7,22,8.2,230,74.8,2.9,14,345,98,71.7,15.2,5.67,4.35,1.85,1.73,0,low,0
162,solar,production,20.7,6.4,59,7.1,243,72.5,3.9,12,354,57,61.9,2.7,10.85,3.28,2.37,2.35,1,critical,2
163,wind,production,25.9,68.7,57,5.4,149,77.4,7.6,9,145,56,39.2,8.9,3.8,3.91,1.86,1.74,1,critical,2
164,hydro,forecast,18.8,80.8,93,10.0,72,65.9,7.1,1,275,76,95.2,11.9,10.64,5.4,4.48,3.97,4,medium,7
165,solar,storage,38.0,33.4,19,0,116,88.5,5.3,15,70,62,24.8,10.6,6.57,3.27,4.68,4.51,2,critical,4
166,wind,storage,18.2,78.5,52,1.3,142,62.1,1.9,14,299,97,62.0,11.0,3.51,6.65,2.89,2.7,0,low,0
167,wind,storage,37.6,81.9,27,2.1,157,73.1,6.7,13,26,98,24.7,21.7,8.64,7.65,4.53,4.33,5,medium,9
168,solar,production,29.8,18.4,89,0,49,69.2,3.9,11,329,86,12.3,3.1,4.42,4.66,2.4,2.08,1,critical,2
169,wind,storage,26.1,20.5,98,15.4,219,65.3,4.2,7,314,76,60.4,13.8,9.03,0.16,4.73,4.15,2,medium,3
170,hydro,production,20.5,68.4,12,0,32,88.0,3.6,12,77,60,91.3,24.9,2.17,2.45,4.6,4.41,0,low,0
171,wind,production,34.7,77.5,87,7.3,178,82.4,6.8,11,366,91,41.3,24.5,11.03,4.89,2.97,2.94,2,critical,4
172,hydro,storage,38.6,56.2,34,0.2,192,88.6,3.1,14,349,66,36.5,15.2,10.42,1.15,4.71,4.52,2,critical,4
173,solar,distribution,39.8,84.7,26,0,109,81.9,2.0,18,212,69,43.1,19.0,10.19,12.67,3.4,2.91,5,critical,8
174,solar,storage,31.6,35.6,45,12.2,165,64.7,4.1,3,75,56,93.8,17.2,1.97,14.78,3.17,3.06,5,critical,2
175,wind,forecast,19.0,37.2,15,1.8,183,69.5,5.2,6,150,60,6.1,2.3,1.63,19.03,3.21,2.86,5,critical,8
176,hydro,distribution,18.5,104.1,10,10.8,131,77.7,6.1,8,60,88,88.5,10.3,10.55,2.94,4.03,3.48,3,medium,5
177,solar,production,26.2,34.3,80,8.5,150,84.8,2.3,12,168,72,36.9,15.3,11.46,15.49,2.49,2.37,5,critical,8
178,hydro,forecast,19.8,15.1,40,14.8,152,97.8,4.3,15,332,98,86.8,17.6,7.53,12.3,4.13,3.54,0,low,9
179,hydro,distribution,41.8,30.0,11,0,247,74.6,3.4,1,121,57,95.7,8.5,9.12,7.14,1.8,1.66,3,medium,5
180,solar,forecast,35.5,32.3,41,0,133,96.1,7.9,10,349,99,42.1,15.0,7.5,1.29,4.29,3.98,0,low,0
181,wind,storage,22.8,14.4,21,0,99,77.8,5.2,18,202,56,30.8,18.5,13.2,5.98,1.91,1.9,2,critical,4
182,hydro,distribution,35.8,108.1,23,0.8,46,74.2,7.9,9,129,88,96.4,18.3,8.7,16.91,2.24,2.18,5,critical,8
183,hydro,production,24.4,14.3,4,4.5,74,79.5,0.7,5,248,65,92.0,8.0,4.04,18.34,3.81,3.77,1,medium,1
184,hydro,distribution,37.7,71.1,67,1.1,197,90.9,2.1,16,23,78,51.5,9.2,4.57,4.91,3.37,3.36,0,low,0
185,wind,forecast,29.9,68.9,22,0,89,82.5,0.9,3,260,57,77.1,15.9,12.04,3.05,2.75,2.69,0,low,0
186,hydro,distribution,38.7,64.1,84,0,98,83.1,5.6,12,6,94,92.3,6.8,9.78,6.31,4.57,3.9,2,medium,4
187,solar,distribution,34.2,26.4,79,12.8,105,76.4,0.6,3,80,83,68.9,13.1,3.29,19.31,2.11,1.81,5,critical,8
188,hydro,storage,24.1,85.6,13,5.5,70,74.6,3.9,2,274,60,48.9,21.3,3.28,7.9,3.25,3.17,2,critical,4
189,wind,storage,24.2,76.7,54,12.8,196,97.4,6.7,5,382,66,79.4,18.8,9.39,5.4,2.19,2.17,2,critical,4
190,wind,storage,41.8,36.0,28,2.4,112,69.7,6.1,6,8,62,97.3,18.2,9.4,1.96,1.88,1.76,2,critical,4
191,hydro,forecast,36.4,32.1,100,0,197,67.3,5.6,5,110,95,75.2,5.7,13.27,6.79,4.75,4.39,4,medium,7
192,hydro,storage,19.2,10.9,22,0,251,79.7,4.7,2,239,97,25.1,7.9,6.66,3.95,3.77,3.3,2,critical,4
193,solar,storage,31.7,84.5,43,0.0,180,61.7,4.4,12,133,70,25.3,16.4,8.81,8.93,4.24,3.93,2,critical,4
194,wind,storage,39.5,106.8,39,8.0,75,60.5,3.4,8,203,71,42.4,8.8,7.74,6.08,3.94,3.88,2,critical,4
195,hydro,storage,18.9,109.9,10,0,43,96.0,3.0,5,218,87,13.0,13.4,5.52,0.17,1.87,1.7,2,medium,3
196,wind,storage,31.8,15.0,96,3.8,225,76.8,1.3,8,113,61,11.1,24.1,5.58,1.81,3.68,3.3,2,critical,4
197,hydro,distribution,20.4,9.4,37,0,32,91.3,3.2,9,109,65,61.4,13.7,4.35,5.6,2.83,2.67,0,low,0
198,solar,storage,18.3,90.9,48,13.8,54,68.0,6.0,4,163,61,17.5,7.5,9.32,17.64,4.46,3.84,2,critical,4
199,hydro,production,33.7,100.3,49,0,79,99.0,7.6,13,290,84,92.8,11.0,5.04,0.18,3.39,3.33,3,critical,1
