kind,tech,capacityKW,hours,tempC,loadPct,efficiencyPct,src
distribution,HV-132kV line,130.6,17.6,23.1,58.3,95.75,synth
distribution,HV-220kV line,281.7,2.0,42.3,70.8,96.12,synth
storage,Lead-Acid,273.2,10.8,16.2,41.8,72.42,synth
production,Solar-PERC 450W,38.2,13.8,29.7,55.8,82.1,synth
storage,Li-ion LFP,96.2,7.7,35.3,70.2,89.09,synth
storage,Solid-State pilot,464.9,4.9,36.8,53.9,93.58,synth
production,Wind-DirectDrive 4MW,79.8,5.4,34.7,96.6,92.22,synth
storage,Li-ion NMC,4.2,9.9,36.3,76.4,89.5,synth
distribution,HV-132kV line,334.8,14.4,44.0,85.5,93.06,synth
distribution,HV-220kV line,264.5,10.0,40.2,32.7,95.78,synth
storage,Solid-State pilot,74.1,12.4,31.7,35.8,94.88,synth
production,Solar-TOPCon 580W,147.1,15.6,38.2,51.7,89.25,synth
distribution,HV-220kV line,177.7,17.1,19.9,63.4,95.69,synth
storage,Lead-Acid,373.3,4.1,28.3,61.0,74.03,synth
distribution,HVDC link,131.2,1.8,17.4,30.4,97.22,synth
storage,Lead-Acid,432.7,11.7,31.1,59.1,73.33,synth
storage,Solid-State pilot,443.2,9.3,31.3,57.1,94.83,synth
production,Wind-DirectDrive 4MW,476.3,8.7,32.3,71.5,91.92,synth
storage,Lead-Acid,185.5,11.3,39.1,61.9,74.52,synth
storage,Lead-Acid,283.4,10.4,29.2,31.9,73.51,synth
storage,Flow-Vanadium,271.5,8.0,40.1,95.5,77.34,synth
distribution,HV-220kV line,160.2,6.1,21.2,75.7,92.37,synth
distribution,LV-11kV line,19.8,5.1,36.9,43.2,84.12,synth
storage,Li-ion LFP,15.1,12.0,21.8,27.9,91.58,synth
storage,Flow-Vanadium,480.7,8.1,43.1,63.5,77.7,synth
distribution,LV-11kV line,316.5,18.4,22.8,39.2,83.31,synth
distribution,HV-132kV line,433.4,9.9,22.4,54.7,92.41,synth
distribution,HVDC link,184.8,9.1,31.4,48.9,94.58,synth
distribution,HVDC link,278.9,19.1,34.2,29.6,97.15,synth
distribution,HVDC link,254.0,15.9,31.7,36.5,95.51,synth
distribution,HV-220kV line,481.8,13.2,28.2,64.1,98.25,synth
production,Hydro-Francis,60.8,18.7,19.0,66.5,83.35,synth
distribution,HV-220kV line,370.6,8.5,25.9,80.1,94.69,synth
storage,Li-ion LFP,239.5,16.8,32.1,54.8,89.07,synth
distribution,LV-11kV line,14.3,8.6,40.6,65.6,80.19,synth
distribution,HV-220kV line,204.2,17.3,24.6,71.5,97.34,synth
production,Hydro-Francis,12.2,8.6,18.2,56.8,83.24,synth
distribution,HV-220kV line,409.1,12.1,20.9,41.4,95.26,synth
storage,Flow-Vanadium,70.4,11.7,29.1,77.3,79.24,synth
storage,Li-ion NMC,163.2,19.3,30.3,34.7,89.22,synth
distribution,HV-132kV line,178.6,5.8,27.3,53.9,92.94,synth
storage,Flow-Vanadium,122.2,19.0,41.3,50.7,77.87,synth
storage,Li-ion NMC,21.0,16.3,28.0,41.2,90.66,synth
production,Hydro-Francis,441.8,19.7,37.8,31.2,84.5,synth
storage,Flow-Vanadium,397.9,4.6,38.7,80.5,77.06,synth
storage,Lead-Acid,86.3,4.9,35.9,23.6,74.44,synth
storage,Li-ion LFP,169.6,19.4,37.3,74.2,90.98,synth
production,Wind-Geared 2MW,449.6,11.4,19.8,76.8,82.55,synth
production,Hydro-Francis,62.0,1.6,15.4,82.0,84.21,synth
storage,Li-ion NMC,124.5,6.1,19.1,39.4,88.42,synth
production,Hydro-Kaplan,161.4,15.4,33.7,46.5,87.97,synth
storage,Lead-Acid,152.0,8.4,16.2,62.8,73.15,synth
distribution,LV-11kV line,176.6,18.0,23.7,84.8,82.62,synth
distribution,LV-11kV line,372.9,9.3,32.7,31.7,84.59,synth
storage,Li-ion LFP,348.0,5.1,40.6,23.3,92.16,synth
storage,Li-ion NMC,378.3,13.9,16.1,84.0,87.48,synth
distribution,LV-11kV line,443.7,8.0,23.6,67.8,80.98,synth
production,Wind-DirectDrive 4MW,294.5,10.8,30.3,27.2,92.46,synth
production,Hydro-Kaplan,354.7,9.9,19.9,84.0,88.67,synth
production,Hydro-Kaplan,414.6,13.3,21.4,44.9,90.5,synth
distribution,HV-220kV line,340.4,2.7,41.6,47.4,94.05,synth
production,Solar-TOPCon 580W,323.0,4.4,32.0,81.1,89.83,synth
production,Solar-PERC 450W,276.3,9.2,36.8,49.8,83.09,synth
production,Wind-DirectDrive 4MW,419.5,12.7,35.7,35.6,93.31,synth
production,Solar-PERC 450W,44.9,5.7,15.6,54.3,80.33,synth
distribution,HV-132kV line,302.7,6.7,41.2,38.6,96.15,synth
production,Wind-Geared 2MW,15.0,1.7,35.1,86.4,84.82,synth
distribution,LV-11kV line,163.2,14.8,39.5,92.9,84.29,synth
distribution,LV-11kV line,228.3,1.5,20.6,36.4,80.85,synth
distribution,HV-220kV line,151.7,10.2,24.3,26.6,96.23,synth
production,Solar-TOPCon 580W,67.6,17.0,36.9,28.8,89.29,synth
distribution,HV-132kV line,432.0,13.5,32.0,32.0,93.42,synth
production,Hydro-Kaplan,162.4,3.1,15.5,82.6,87.58,synth
production,Hydro-Francis,437.3,12.9,44.1,70.3,83.39,synth
production,Hydro-Francis,280.3,16.9,37.3,63.6,87.51,synth
distribution,HVDC link,328.7,19.5,20.2,55.7,96.78,synth
production,Wind-Geared 2MW,406.9,15.8,33.9,95.0,84.8,synth
distribution,HV-132kV line,7.1,1.1,25.9,52.0,93.13,synth
distribution,HV-220kV line,316.3,13.6,15.5,77.1,96.91,synth
production,Hydro-Francis,381.9,8.3,36.1,83.9,84.5,synth
production,Hydro-Francis,154.4,8.2,31.5,55.3,87.19,synth
production,Wind-DirectDrive 4MW,349.4,3.4,20.4,70.6,93.68,synth
distribution,LV-11kV line,441.8,7.2,29.7,49.9,83.55,synth
distribution,HV-220kV line,273.0,14.0,19.8,35.3,95.69,synth
distribution,HV-132kV line,38.3,13.8,32.1,45.8,93.6,synth
distribution,HV-132kV line,227.0,3.9,23.0,61.8,95.09,synth
production,Hydro-Kaplan,193.3,13.2,26.0,74.8,87.81,synth
storage,Flow-Vanadium,395.8,1.0,16.0,75.2,76.07,synth
production,Wind-Geared 2MW,260.0,13.6,38.3,99.2,83.31,synth
distribution,LV-11kV line,5.4,9.5,21.8,64.3,81.97,synth
distribution,LV-11kV line,434.2,4.9,16.0,88.9,80.34,synth
production,Hydro-Francis,437.5,8.5,16.9,23.0,83.19,synth
storage,Solid-State pilot,160.7,9.9,40.8,81.6,93.39,synth
production,Wind-DirectDrive 4MW,472.3,3.6,25.0,54.5,92.72,synth
distribution,HV-132kV line,11.4,6.4,37.2,96.4,94.02,synth
storage,Li-ion NMC,208.6,9.1,40.7,64.1,89.96,synth
storage,Lead-Acid,154.2,18.9,38.3,92.9,72.52,synth
production,Wind-Geared 2MW,180.1,16.1,22.3,92.3,83.41,synth
storage,Li-ion NMC,448.9,4.1,20.5,66.6,87.71,synth
storage,Flow-Vanadium,107.0,15.7,21.0,38.1,77.09,synth
production,Hydro-Kaplan,99.9,11.0,37.6,47.6,89.44,synth
storage,Solid-State pilot,202.1,10.6,39.9,56.5,91.98,synth
production,Hydro-Francis,125.1,12.7,22.4,57.5,85.5,synth
storage,Li-ion NMC,437.5,7.8,40.8,92.0,88.62,synth
distribution,HV-220kV line,368.5,4.3,17.5,29.5,96.73,synth
distribution,HVDC link,440.3,3.1,18.2,66.8,97.05,synth
distribution,HVDC link,230.7,12.0,23.9,29.6,96.91,synth
storage,Li-ion NMC,433.3,9.0,19.9,76.8,89.2,synth
storage,Lead-Acid,166.9,18.3,41.9,72.2,73.69,synth
distribution,HV-220kV line,22.3,9.5,39.2,84.1,95.76,synth
storage,Li-ion NMC,250.9,5.5,18.1,51.3,86.74,synth
production,Solar-PERC 450W,149.6,19.1,32.0,23.3,80.61,synth
storage,Solid-State pilot,228.8,3.5,20.4,99.1,92.42,synth
distribution,HV-220kV line,239.3,5.0,23.0,40.7,96.05,synth
distribution,LV-11kV line,218.7,5.9,41.2,92.8,81.04,synth
production,Hydro-Francis,425.7,12.7,19.2,96.8,86.34,synth
storage,Li-ion NMC,66.4,4.2,19.5,44.4,87.76,synth
storage,Li-ion LFP,25.9,15.2,31.3,98.4,92.86,synth
production,Solar-TOPCon 580W,64.9,3.8,44.4,51.7,91.71,synth
storage,Solid-State pilot,53.6,12.1,21.3,21.3,94.77,synth
distribution,LV-11kV line,375.0,12.9,17.2,88.6,82.18,synth
distribution,HV-220kV line,156.6,15.4,20.0,59.9,94.67,synth
storage,Flow-Vanadium,487.3,15.5,26.5,43.6,76.43,synth
storage,Lead-Acid,111.7,15.5,26.9,72.3,72.81,synth
production,Wind-DirectDrive 4MW,331.2,9.4,37.1,50.2,93.03,synth
distribution,LV-11kV line,425.7,10.5,33.5,89.0,80.02,synth
storage,Lead-Acid,42.4,10.0,35.3,47.4,74.94,synth
production,Hydro-Francis,156.8,4.1,44.8,51.1,84.03,synth
production,Wind-Geared 2MW,408.8,17.0,41.0,82.8,86.71,synth
distribution,HVDC link,169.4,7.9,41.1,56.7,96.37,synth
production,Wind-DirectDrive 4MW,150.6,18.5,22.6,24.9,92.71,synth
storage,Li-ion NMC,398.3,13.9,22.2,76.1,92.6,synth
distribution,LV-11kV line,13.9,6.3,25.7,83.3,82.17,synth
distribution,LV-11kV line,24.3,9.2,44.8,59.1,85.18,synth
storage,Lead-Acid,235.8,1.8,42.5,73.6,70.86,synth
production,Wind-DirectDrive 4MW,162.0,12.3,31.8,75.8,92.68,synth
storage,Flow-Vanadium,413.4,14.7,29.3,85.0,78.3,synth
production,Hydro-Francis,124.9,9.5,19.3,66.5,86.36,synth
distribution,HVDC link,186.6,14.5,42.9,59.2,95.52,synth
distribution,HV-132kV line,358.3,2.6,15.8,95.7,93.96,synth
distribution,HV-220kV line,368.5,9.7,36.4,52.9,95.12,synth
distribution,LV-11kV line,163.3,15.0,15.5,82.6,86.27,synth
storage,Flow-Vanadium,408.5,9.2,41.6,22.3,79.12,synth
production,Hydro-Francis,123.3,1.4,23.5,99.4,85.3,synth
storage,Solid-State pilot,465.7,17.9,17.6,59.7,93.01,synth
storage,Solid-State pilot,50.7,9.0,25.1,80.8,94.84,synth
storage,Flow-Vanadium,230.5,9.8,29.2,51.6,78.62,synth
distribution,HV-220kV line,270.2,11.7,27.2,75.0,95.27,synth
distribution,HV-132kV line,330.5,8.4,25.9,73.8,95.99,synth
production,Hydro-Francis,383.3,5.9,31.2,93.6,84.48,synth
production,Wind-DirectDrive 4MW,233.4,16.3,25.6,66.0,91.58,synth
distribution,HVDC link,173.0,11.7,19.4,64.2,95.09,synth
distribution,HVDC link,437.6,5.8,19.8,54.3,96.8,synth
production,Wind-Geared 2MW,349.7,1.9,30.1,49.2,89.01,synth
distribution,LV-11kV line,400.3,1.8,24.2,24.0,83.97,synth
distribution,HVDC link,235.3,4.1,36.7,35.6,95.38,synth
distribution,HV-220kV line,124.6,10.4,24.8,55.2,93.68,synth
distribution,HV-220kV line,135.0,12.7,23.1,40.7,96.01,synth
distribution,LV-11kV line,311.1,10.2,41.2,79.9,84.74,synth
distribution,LV-11kV line,339.1,14.9,38.1,37.7,84.13,synth
production,Wind-DirectDrive 4MW,87.5,10.8,32.8,72.3,91.52,synth
production,Wind-Geared 2MW,12.9,18.4,27.0,45.5,86.44,synth
storage,Li-ion NMC,161.6,9.2,33.5,73.5,89.2,synth
storage,Flow-Vanadium,218.9,9.4,15.1,61.4,77.54,synth
storage,Li-ion LFP,75.7,10.4,20.8,79.9,90.34,synth
storage,Li-ion NMC,142.6,1.6,40.7,38.5,89.24,synth
storage,Flow-Vanadium,193.6,11.6,20.2,85.0,74.56,synth
storage,Li-ion NMC,386.2,1.9,21.2,36.3,87.78,synth
production,Wind-DirectDrive 4MW,415.2,7.1,40.8,65.8,92.28,synth
distribution,LV-11kV line,354.9,3.8,26.9,66.6,82.05,synth
production,Wind-DirectDrive 4MW,179.7,15.9,38.4,43.5,90.83,synth
distribution,LV-11kV line,269.4,3.3,19.9,64.0,84.35,synth
distribution,LV-11kV line,495.5,11.0,27.8,84.2,85.32,synth
distribution,HV-132kV line,107.5,14.8,23.5,76.0,92.14,synth
storage,Solid-State pilot,229.9,3.0,27.5,53.1,95.34,synth
storage,Solid-State pilot,425.6,8.8,37.5,26.6,94.43,synth
production,Solar-PERC 450W,23.6,4.6,40.7,65.9,81.69,synth
storage,Flow-Vanadium,4.8,6.7,41.1,21.5,78.47,synth
distribution,HV-132kV line,32.1,10.9,22.6,38.2,93.39,synth
storage,Solid-State pilot,44.4,14.9,23.1,40.0,94.02,synth
distribution,HVDC link,425.1,7.8,32.2,53.2,96.91,synth
distribution,HV-132kV line,258.2,5.1,15.0,36.7,92.87,synth
distribution,LV-11kV line,168.9,13.1,36.6,33.4,81.02,synth
production,Solar-TOPCon 580W,56.6,11.0,43.8,90.5,91.55,synth
production,Wind-DirectDrive 4MW,151.8,5.1,19.0,74.2,93.61,synth
storage,Solid-State pilot,246.9,14.3,20.9,46.6,92.34,synth
distribution,HV-220kV line,28.9,10.3,29.4,73.2,94.14,synth
storage,Solid-State pilot,219.9,6.6,29.6,80.6,95.23,synth
distribution,HV-220kV line,460.9,14.2,26.2,95.0,95.53,synth
distribution,HVDC link,317.0,5.6,44.9,91.3,95.81,synth
production,Solar-PERC 450W,205.0,11.6,40.3,35.1,82.2,synth
distribution,HV-132kV line,100.2,14.4,24.7,51.3,92.91,synth
production,Solar-TOPCon 580W,171.8,10.9,41.4,98.1,88.69,synth
distribution,HV-132kV line,108.4,14.8,21.6,82.5,95.57,synth
production,Wind-Geared 2MW,45.1,4.6,28.1,28.7,85.66,synth
storage,Li-ion NMC,28.2,9.0,16.8,60.6,89.0,synth
distribution,HV-220kV line,243.5,11.7,36.3,56.8,95.51,synth
production,Hydro-Francis,189.3,4.0,23.8,26.7,84.61,synth
distribution,HVDC link,439.2,14.8,36.7,95.9,95.66,synth
storage,Solid-State pilot,414.1,13.0,42.8,48.6,93.24,synth
